id,url,owner,name,createdAt,commits,dateLastCommit,contributors,closedPullReqCount,closedPullReqLastDate,mergedPullReqCount,mergedPullReqLastDate,stargazerCount,forkCount,closedIssuesCount,monthlyclosedPullReq,monthlyCommits,monthlymergedPullReq
MDEwOlJlcG9zaXRvcnkxMjU1NTg3Mw==,https://github.com/52North/sensorweb-server-helgoland,52North,sensorweb-server-helgoland,2013-09-03 05:36:08,2564,2019-07-25 13:06:29,15,18,2019-05-23 14:21:00,324,2019-05-24 17:14:09,16,14,90,0,9,0
MDEwOlJlcG9zaXRvcnkxNzc0Mjc2Nw==,https://github.com/52North/SOS,52North,SOS,2014-03-14 10:24:54,4275,2019-07-31 11:58:12,18,19,2018-11-05 17:26:21,375,2019-02-07 13:20:22,62,39,181,0,45,0
MDEwOlJlcG9zaXRvcnkzNDQ0NTQ4OA==,https://github.com/abstools/abstools,abstools,abstools,2015-04-23 09:00:35,5223,2019-07-23 16:13:39,74,8,2019-06-18 16:20:42,44,2019-06-19 12:08:26,15,17,159,0,18,0
MDEwOlJlcG9zaXRvcnkxMDEyODU1NzQ=,https://github.com/actiontech/dble,actiontech,dble,2017-08-24 10:58:41,2063,2019-07-30 05:21:40,23,23,2019-07-30 05:12:26,421,2019-07-31 08:47:31,388,157,743,3,15,13
MDEwOlJlcG9zaXRvcnk1NzkzNzM4,https://github.com/Activiti/Activiti,Activiti,Activiti,2012-09-13 11:34:43,9857,2019-07-26 14:09:44,261,374,2019-07-29 16:42:21,991,2019-07-26 13:45:10,5174,3924,1171,3,147,13
MDEwOlJlcG9zaXRvcnkyODk0MjMzMg==,https://github.com/adempiere/adempiere,adempiere,adempiere,2015-01-08 01:15:53,14591,2019-07-31 05:50:39,63,116,2019-07-16 17:51:30,455,2019-07-09 17:54:06,371,467,1733,2,32,6
MDEwOlJlcG9zaXRvcnk2MzUxMDcx,https://github.com/adjust/android_sdk,adjust,android_sdk,2012-10-23 11:19:15,1781,2019-07-19 14:49:56,43,37,2018-09-13 00:25:31,166,2019-07-19 14:49:57,254,165,168,0,12,1
MDEwOlJlcG9zaXRvcnkxMzMyNTQwMQ==,https://github.com/Adobe-Consulting-Services/acs-aem-commons,Adobe-Consulting-Services,acs-aem-commons,2013-10-04 13:50:05,3908,2019-07-31 04:47:37,180,161,2019-07-21 20:42:20,756,2019-07-31 04:47:38,322,379,1027,4,31,19
MDEwOlJlcG9zaXRvcnkzMzA1Mjc4NA==,https://github.com/Advanced-Rocketry/AdvancedRocketry,Advanced-Rocketry,AdvancedRocketry,2015-03-28 22:31:17,1796,2019-07-28 10:59:49,31,11,2019-01-30 03:49:53,52,2019-07-28 03:24:30,85,56,1295,0,17,2
MDEwOlJlcG9zaXRvcnk0Njc4OTIxMw==,https://github.com/aicis/fresco,aicis,fresco,2015-11-24 12:05:17,2944,2019-07-11 14:31:40,30,3,2018-02-08 13:18:09,202,2019-06-19 11:42:54,54,22,103,0,17,0
MDEwOlJlcG9zaXRvcnkyNjEyMjA0OA==,https://github.com/aidenlab/Juicebox,aidenlab,Juicebox,2014-11-03 14:27:54,1852,2019-07-30 19:13:19,39,13,2019-04-19 23:45:12,102,2019-07-24 21:00:26,56,20,520,0,80,4
MDEwOlJlcG9zaXRvcnkzMjEwMzUyNg==,https://github.com/aimacode/aima-java,aimacode,aima-java,2015-03-12 21:25:57,1500,2019-07-31 13:32:41,42,111,2019-05-17 14:05:49,111,2019-07-08 16:53:42,1047,537,151,0,52,1
MDEwOlJlcG9zaXRvcnkxMTg0Nzc5MzE=,https://github.com/aionnetwork/aion,aionnetwork,aion,2018-01-22 15:46:23,4292,2019-07-31 22:46:50,62,99,2019-07-31 22:58:01,531,2019-07-31 16:57:35,279,89,274,6,94,22
MDEwOlJlcG9zaXRvcnk3MDE5ODg3NQ==,https://github.com/airbnb/lottie-android,airbnb,lottie-android,2016-10-06 22:42:42,1125,2019-07-23 00:56:59,83,47,2019-07-22 08:24:36,313,2019-07-23 00:57:00,25184,3708,929,5,10,7
MDEwOlJlcG9zaXRvcnk5NjI0MjI3Nw==,https://github.com/airsonic/airsonic,airsonic,airsonic,2017-07-04 17:58:56,1163,2019-07-31 01:26:58,78,47,2019-07-25 19:11:43,211,2019-07-27 19:28:51,778,103,653,6,46,22
MDEwOlJlcG9zaXRvcnkzODQzNTg1,https://github.com/akvo/akvo-flow,akvo,akvo-flow,2012-03-27 12:45:18,10610,2019-07-31 19:17:30,47,85,2019-05-06 20:54:53,1100,2019-07-30 13:45:36,49,20,1632,0,50,8
MDEwOlJlcG9zaXRvcnk1MzgwODE4,https://github.com/akvo/akvo-flow-mobile,akvo,akvo-flow-mobile,2012-08-11 15:36:16,4676,2019-07-30 18:56:09,24,33,2019-07-25 17:46:27,543,2019-07-30 10:21:21,13,10,749,5,117,10
MDEwOlJlcG9zaXRvcnk1NjU5NjE3OA==,https://github.com/albertogoffi/toradocu,albertogoffi,toradocu,2016-04-19 12:49:42,1251,2019-07-04 16:47:23,13,17,2018-06-04 14:53:14,123,2019-04-09 18:39:15,22,13,67,0,1,0
MDEwOlJlcG9zaXRvcnk0MjU2MTc5NQ==,https://github.com/AlexModGuy/Ice_and_Fire,AlexModGuy,Ice_and_Fire,2015-09-16 03:15:07,1453,2019-07-31 20:56:16,25,62,2019-06-22 22:21:11,87,2019-06-22 22:21:58,55,37,1210,0,23,0
