id,url,owner,name,createdAt,commits,dateLastCommit,contributors,closedPullReqCount,closedPullReqLastDate,mergedPullReqCount,mergedPullReqLastDate,stargazerCount,forkCount,closedIssuesCount,monthlyclosedPullReq,monthlyCommits,monthlymergedPullReq
MDEwOlJlcG9zaXRvcnk1Nzk5NjMz,https://github.com/aadnk/ProtocolLib,aadnk,ProtocolLib,2012-09-13 19:17:15,309,2012-11-27 10:00:52,2,0,,1,2012-09-19 21:00:18,2,1,0,0,90,0
MDEwOlJlcG9zaXRvcnk3MzUzODY=,https://github.com/abarisain/dmix,abarisain,dmix,2010-06-23 08:35:14,557,2012-11-30 23:27:28,23,6,2012-10-30 00:04:36,19,2012-11-30 23:27:28,112,19,98,0,13,3
MDEwOlJlcG9zaXRvcnk1NzkzNzM4,https://github.com/Activiti/Activiti,Activiti,Activiti,2012-09-13 11:34:43,2828,2012-11-30 19:01:20,38,2,2012-11-26 17:23:27,6,2012-11-29 15:23:07,102,20,2,2,190,5
MDEwOlJlcG9zaXRvcnk2MzUxMDcx,https://github.com/adjust/android_sdk,adjust,android_sdk,2012-10-23 11:19:15,16,2012-11-21 14:36:17,2,0,,0,,1,0,0,0,7,0
MDEwOlJlcG9zaXRvcnk0NjgxMzI4,https://github.com/airlift/airlift,airlift,airlift,2012-06-16 00:33:13,1226,2012-11-22 21:05:55,22,8,2012-09-24 21:07:39,9,2012-11-26 22:43:58,6,10,0,0,1,1
MDEwOlJlcG9zaXRvcnkxODM4MTA=,https://github.com/akara/faban,akara,faban,2009-04-23 18:49:29,952,2012-11-28 17:56:52,14,6,2012-11-20 21:28:10,18,2012-11-27 20:50:55,20,11,21,2,11,6
MDEwOlJlcG9zaXRvcnkzODQzNTg1,https://github.com/akvo/akvo-flow,akvo,akvo-flow,2012-03-27 12:45:18,3245,2012-11-30 19:02:45,17,0,,0,,8,1,57,0,254,0
MDEwOlJlcG9zaXRvcnkyMjMzNTU=,https://github.com/alexo/wro4j,alexo,wro4j,2009-06-10 09:31:25,2634,2012-11-30 12:55:09,34,16,2012-10-25 13:02:42,31,2012-09-18 16:22:15,169,42,21,0,37,0
MDEwOlJlcG9zaXRvcnkyNzAwMTU5,https://github.com/alibaba/druid,alibaba,druid,2011-11-03 05:12:51,2752,2012-11-29 12:32:53,21,16,2012-11-13 19:19:12,175,2012-11-29 11:46:16,262,68,14,2,96,27
MDEwOlJlcG9zaXRvcnkyNzAwNDc0,https://github.com/alibaba/fastjson,alibaba,fastjson,2011-11-03 06:58:52,435,2012-11-30 18:35:25,5,1,2012-07-31 18:31:42,1,2012-08-01 10:36:45,217,29,15,0,17,0
MDEwOlJlcG9zaXRvcnkxOTY1ODQy,https://github.com/alkacon/opencms-core,alkacon,opencms-core,2011-06-28 11:17:50,16736,2012-11-30 19:44:25,56,12,2012-10-18 18:53:17,13,2012-10-18 18:57:21,61,19,40,0,127,0
MDEwOlJlcG9zaXRvcnkxMDM5MDEz,https://github.com/Amab/SWADroid,Amab,SWADroid,2010-10-31 07:34:56,952,2012-11-29 20:13:49,5,0,,0,,7,1,2,0,61,0
MDEwOlJlcG9zaXRvcnkzMTE2NzUx,https://github.com/androidannotations/androidannotations,androidannotations,androidannotations,2012-01-06 08:48:03,978,2012-11-29 20:35:15,25,11,2012-11-06 18:27:49,107,2012-11-29 20:35:15,647,58,232,2,58,8
MDEwOlJlcG9zaXRvcnk1MjgwMDc2,https://github.com/AnimeNeko/Atarashii,AnimeNeko,Atarashii,2012-08-03 01:38:06,180,2012-11-26 10:24:15,3,0,,3,2012-09-02 10:07:11,3,0,14,0,19,0
MDEwOlJlcG9zaXRvcnk1MjQ0NDQ1,https://github.com/AntennaPod/AntennaPod,AntennaPod,AntennaPod,2012-07-31 10:25:08,822,2012-11-28 20:42:39,7,0,,8,2012-11-28 20:50:08,75,5,31,0,56,2
MDEwOlJlcG9zaXRvcnk1MDE2ODc=,https://github.com/antlr/antlr4,antlr,antlr4,2010-02-04 01:36:28,1781,2012-11-30 21:40:24,7,3,2012-11-26 01:36:20,18,2012-11-28 04:25:29,122,13,54,2,156,2
MDEwOlJlcG9zaXRvcnk0MDYzNTE2,https://github.com/AnySoftKeyboard/AnySoftKeyboard,AnySoftKeyboard,AnySoftKeyboard,2012-04-18 12:38:01,1792,2012-11-30 07:00:08,7,0,,33,2012-11-30 07:00:08,26,12,31,0,48,4
MDEwOlJlcG9zaXRvcnkyNTI0NDg4,https://github.com/apache/accumulo,apache,accumulo,2011-10-06 07:00:09,1302,2012-11-29 20:43:57,13,0,,0,,44,14,0,0,49,0
MDEwOlJlcG9zaXRvcnkxNTc1OTU2,https://github.com/apache/bookkeeper,apache,bookkeeper,2011-04-06 07:00:07,322,2012-11-30 18:28:43,4,0,,0,,26,11,0,0,21,0
MDEwOlJlcG9zaXRvcnk2MzU4MTg4,https://github.com/apache/druid,apache,druid,2012-10-23 19:08:07,158,2012-11-30 22:37:02,13,2,2012-11-02 19:15:51,18,2012-11-29 20:21:41,282,19,10,1,125,11
MDEwOlJlcG9zaXRvcnk0NzEwOTIw,https://github.com/apache/dubbo,apache,dubbo,2012-06-19 07:56:02,1760,2012-11-22 11:02:24,12,0,,0,,91,17,0,0,1,0
MDEwOlJlcG9zaXRvcnk2ODgzNTI=,https://github.com/apache/jmeter,apache,jmeter,2010-05-26 23:38:07,9206,2012-11-30 14:16:08,19,0,,0,,37,10,2112,0,100,0
MDEwOlJlcG9zaXRvcnkyNDY2MTkw,https://github.com/apptentive/apptentive-android,apptentive,apptentive-android,2011-09-27 07:51:41,184,2012-11-19 03:00:25,4,3,2012-03-07 11:00:08,35,2012-10-10 22:05:18,6,3,0,0,4,0
MDEwOlJlcG9zaXRvcnkzMzkwMDI=,https://github.com/aptana/studio3,aptana,studio3,2009-10-15 23:46:08,14337,2012-11-30 22:42:56,42,1,2010-09-02 21:34:26,5,2012-10-12 17:32:53,78,13,21,0,128,0
MDEwOlJlcG9zaXRvcnk1Njc1OTAx,https://github.com/ArcBees/GWTP,ArcBees,GWTP,2012-09-04 17:19:59,709,2012-11-30 00:02:42,21,6,2012-11-28 07:26:03,15,2012-11-30 00:02:42,42,5,3,4,69,11
MDEwOlJlcG9zaXRvcnkxNTQ3NjYz,https://github.com/archimatetool/archi,archimatetool,archi,2011-03-30 19:18:13,506,2012-11-28 00:52:55,2,0,,0,,6,2,0,0,26,0
MDEwOlJlcG9zaXRvcnk5MTkxNjE=,https://github.com/arduino/Arduino,arduino,Arduino,2010-09-17 19:10:36,2507,2012-11-30 18:34:04,53,46,2012-11-30 22:50:20,30,2012-11-25 17:58:47,1310,227,533,3,55,5
